demand_id,Destination_State,Destination_City,opportunity_name,Origin_Lat,Origin_Lon,Destination_Lat,Destination_Lon,distance_km,distance_mean,distance_variance
355030889000054,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.522996668306774,-46.58230433873877,-23.53318,-46.59454,1.683217349129504,1.151498569392574,0.27969870690659054
355030889000055,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.523543284011605,-46.58189825261582,-23.53318,-46.59454,1.6750155480053586,1.151498569392574,0.27969870690659054
355030889000057,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.521322715850008,-46.58754635624222,-23.53318,-46.59454,1.494855456292544,1.151498569392574,0.27969870690659054
355030889000059,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.516309698041816,-46.58948884006123,-23.50618,-46.58786,1.1341434404135402,0.7783092139958576,0.13636320515296418
355030889000060,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.51602702688895,-46.58571589902755,-23.50618,-46.58786,1.1123383389393433,0.7783092139958576,0.13636320515296418
355030889000062,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.510222122116446,-46.588147068894976,-23.50618,-46.58786,0.4486288687986032,0.7783092139958576,0.13636320515296418
355030889000063,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.51203510627065,-46.584564591341376,-23.50618,-46.58786,0.7306038014447118,0.7783092139958576,0.13636320515296418
355030889000066,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.507081987470897,-46.5867074212549,-23.50618,-46.58786,0.1543928987853864,0.7783092139958576,0.13636320515296418
355030889000067,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50572305564443,-46.58541249880931,-23.50618,-46.58786,0.2550502263866104,0.7783092139958576,0.13636320515296418
355030889000068,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50412873321578,-46.58351237338167,-23.50618,-46.58786,0.49879313187685315,0.7783092139958576,0.13636320515296418
355030889000070,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50268387271564,-46.58043817946202,-23.50618,-46.58786,0.8512104417984208,0.7783092139958576,0.13636320515296418
355030889000071,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50387220241322,-46.579348795253246,-23.50618,-46.58786,0.9061055280437882,0.7783092139958576,0.13636320515296418
355030889000072,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.503939589789272,-46.57810543142744,-23.50618,-46.58786,1.026736828094667,0.7783092139958576,0.13636320515296418
355030889000073,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.503718833841972,-46.576974615657825,-23.50618,-46.58786,1.1447287241297393,0.7783092139958576,0.13636320515296418
355030889000074,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.500704866595253,-46.58113237528032,-23.50618,-46.58786,0.9164423010467522,0.7783092139958576,0.13636320515296418
355030889000075,SP,SÃO PAULO,UBS JARDIM JULIETA,-23.500808906749192,-46.57768601552082,-23.4964385,-46.5683167,1.0724430643761425,0.6397832951984583,0.08297020661265445
355030889000076,SP,SÃO PAULO,UBS JARDIM JULIETA,-23.500461544861977,-46.575586651310154,-23.4964385,-46.5683167,0.8659845606219765,0.6397832951984583,0.08297020661265445
355030889000077,SP,SÃO PAULO,UBS JARDIM JULIETA,-23.501665126720557,-46.57488054510073,-23.4964385,-46.5683167,0.8857572015905495,0.6397832951984583,0.08297020661265445
355030889000078,SP,SÃO PAULO,UBS JARDIM JULIETA,-23.502564976265305,-46.57359257650914,-23.4964385,-46.5683167,0.8664746961620364,0.6397832951984583,0.08297020661265445
355030889000079,SP,SÃO PAULO,UBS PARQUE NOVO MUNDO II,-23.50977481826857,-46.56344331232488,-23.5119787,-46.5659248,0.3518644573545618,0.9755629889490447,0.18847947145988103
355030889000080,SP,SÃO PAULO,UBS PARQUE NOVO MUNDO II,-23.518805910955304,-46.56299720637253,-23.5119787,-46.5659248,0.8130913790359995,0.9755629889490447,0.18847947145988103
355030889000081,SP,SÃO PAULO,UBS PARQUE NOVO MUNDO II,-23.521323904562646,-46.56189743310454,-23.5119787,-46.5659248,1.113725976593146,0.9755629889490447,0.18847947145988103
355030889000082,SP,SÃO PAULO,UBS PARQUE NOVO MUNDO II,-23.52268055593515,-46.566625730974856,-23.5119787,-46.5659248,1.1874042331518084,0.9755629889490447,0.18847947145988103
355030889000083,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.52475231296825,-46.58386169188474,-23.53318,-46.59454,1.4353702285496688,1.151498569392574,0.27969870690659054
355030889000084,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.52740444002104,-46.58728514907758,-23.53318,-46.59454,0.9787803524201725,1.151498569392574,0.27969870690659054
355030889000086,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.524979695935148,-46.59042017089273,-23.53318,-46.59454,1.000908286554609,1.151498569392574,0.27969870690659054
355030889000087,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.523759529586545,-46.58946279901346,-23.53318,-46.59454,1.1650578711530222,1.151498569392574,0.27969870690659054
355030889000088,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.52191276074817,-46.58944894034772,-23.53318,-46.59454,1.3518343405497226,1.151498569392574,0.27969870690659054
355030889000089,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.517830689175042,-46.59138383353421,-23.50618,-46.58786,1.339578790949106,0.7783092139958576,0.13636320515296418
355030889000090,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.51481047247785,-46.59112092466283,-23.50618,-46.58786,1.0121965430603646,0.7783092139958576,0.13636320515296418
355030889000091,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.511979406203835,-46.59138300000669,-23.50618,-46.58786,0.7362112541943756,0.7783092139958576,0.13636320515296418
355030889000092,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.511022241790993,-46.58966873086661,-23.50618,-46.58786,0.5672098657951632,0.7783092139958576,0.13636320515296418
355030889000093,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.509590608985107,-46.59203626198321,-23.50618,-46.58786,0.569752145318446,0.7783092139958576,0.13636320515296418
355030889000094,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.507377764723355,-46.59081535291276,-23.50618,-46.58786,0.32971027673383374,0.7783092139958576,0.13636320515296418
355030889000095,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.509159970069682,-46.5877290040858,-23.50618,-46.58786,0.33030623636459594,0.7783092139958576,0.13636320515296418
355030889000096,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.5060971367734,-46.588883865989295,-23.50618,-46.58786,0.10497580091731483,0.7783092139958576,0.13636320515296418
355030889000097,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50519941988852,-46.59079750831564,-23.50618,-46.58786,0.3190774090672349,0.7783092139958576,0.13636320515296418
355030889000098,SP,SÃO PAULO,UBS VILA MARIA LUIZ PAULO GNECCO,-23.503056387452514,-46.590649345420715,-23.49975,-46.59121,0.3706365734878921,0.3620052285541636,0.017298879458717366
355030889000099,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50345705837077,-46.58884588089236,-23.50618,-46.58786,0.3179359988966929,0.7783092139958576,0.13636320515296418
355030889000100,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50381939338604,-46.587468572921935,-23.50618,-46.58786,0.2644789830286585,0.7783092139958576,0.13636320515296418
355030889000101,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50458284998395,-46.58578539245902,-23.50618,-46.58786,0.27602131529110674,0.7783092139958576,0.13636320515296418
355030889000102,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.503319630830685,-46.586235898764144,-23.50618,-46.58786,0.3575919231626597,0.7783092139958576,0.13636320515296418
355030889000103,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50276456237079,-46.584885510904535,-23.50618,-46.58786,0.4851619162285528,0.7783092139958576,0.13636320515296418
355030889000104,SP,SÃO PAULO,UBS JARDIM JAPAO,-23.50128736185091,-46.58492825786168,-23.50618,-46.58786,0.6190991366931005,0.7783092139958576,0.13636320515296418
355030889000105,SP,SÃO PAULO,AMA UBS VILA MEDEIROS,-23.499183781696626,-46.58299360273707,-23.49264,-46.58518,0.7583596609340778,0.4565213301184176,0.04464313545543257
355030889000106,SP,SÃO PAULO,AMA UBS VILA MEDEIROS,-23.49934923284328,-46.58125390516354,-23.49264,-46.58518,0.8443652447703115,0.4565213301184176,0.04464313545543257
355030889000107,SP,SÃO PAULO,AMA UBS VILA MEDEIROS,-23.4974518804693,-46.57948941330324,-23.49264,-46.58518,0.7885887814695115,0.4565213301184176,0.04464313545543257
355030889000108,SP,SÃO PAULO,UBS VILA SABRINA DR CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA,-23.498513561628375,-46.578347019136764,-23.49175,-46.57314,0.9186909690350862,0.515507217479498,0.058103113553763575
355030889000109,SP,SÃO PAULO,UBS JARDIM JULIETA,-23.50000413967504,-46.574340670474285,-23.4964385,-46.5683167,0.73112394599584,0.6397832951984583,0.08297020661265445
355030889000110,SP,SÃO PAULO,UBS JARDIM JULIETA,-23.50448233051699,-46.56980735731844,-23.4964385,-46.5683167,0.9037801744062871,0.6397832951984583,0.08297020661265445
355030889000114,SP,SÃO PAULO,UBS PARQUE NOVO MUNDO II,-23.51828793532614,-46.55842421014816,-23.5119787,-46.5659248,1.0368521736901328,0.9755629889490447,0.18847947145988103
355030889000115,SP,SÃO PAULO,UBS PARQUE NOVO MUNDO II,-23.517134109053078,-46.55787054440869,-23.5119787,-46.5659248,1.0013200003303446,0.9755629889490447,0.18847947145988103
355030889000117,SP,SÃO PAULO,UBS PARQUE NOVO MUNDO II,-23.516656734428135,-46.558600109792295,-23.5119787,-46.5659248,0.9099644751249453,0.9755629889490447,0.18847947145988103
355030889000118,SP,SÃO PAULO,UBS BELENZINHO MARCUS WOLOSKER,-23.52688674131675,-46.59298739404193,-23.53318,-46.59454,0.7147934141349673,1.151498569392574,0.27969870690659054
